,NAICS,group-size,group-yr,wlc,wlr
0,48,494,0,0.2643726669245673,0.3083226658563546
1,48,682,1,0.23432003146999936,0.8057079260214832
2,48,702,2,0.18773445616375664,0.22663734528285748
3,52,9941,0,0.17594369104396992,0.2054702515452836
4,52,15939,1,0.19558636930331397,0.26558453985329294
5,52,14699,2,0.35648486135815544,0.5435217423983459
6,51,758,0,0.29781041266347075,0.9392657944033779
7,51,1009,1,0.35473596084346976,1.3370394019998562
8,51,1176,2,0.8628234623631653,7.737397031053104
9,33,520,0,0.7654759076767129,0.724311097902098
10,33,881,1,0.7758567928071806,1.9453498038425079
11,33,1231,2,0.5769779952967307,2.415440837252067
12,21,458,0,0.9296340859128334,1.4604560510264109
13,21,1112,1,0.29475856252085336,0.8852904656639031
14,21,3319,2,0.8219396222765362,3.504500278211133
15,22,303,0,0.11034836661683957,0.14147102411363482
16,22,179,1,0.09312033527139793,0.17517579010989495
17,22,274,2,0.1639693966688259,0.3792664325027354
18,44,85,0,0.11408905151491323,0.1476963158763786
19,44,105,1,0.1186156474339097,3.833068751447834
20,44,209,2,0.09678652314895014,0.14366492616636342
21,53,317,0,0.10037120745897538,0.1505473992568843
22,53,541,1,0.1329168666870922,0.47320767137560477
23,53,666,2,0.13923515073641807,0.254693634935045
24,32,567,0,0.19232007372678667,0.6520585174677758
25,32,799,1,1.4105770777205098,1.473277639345431
26,32,1268,2,1.2617144487748981,14.050225098802837
27,99,125,0,0.2590067754860804,0.4457700055009132
28,99,154,1,0.6922721374401977,1.5516067341928133
29,99,161,2,0.2750208118279114,0.3751320064073677
30,45,13,0,0.06875234266611259,5.949863790476592
31,45,24,1,0.11731579732181795,0.15222815034239598
32,45,48,2,0.1378106474937881,0.19154788689513316
33,62,292,0,0.38965777527547374,0.4265331589028522
34,62,341,1,0.42650082602667766,0.6363911218614438
35,62,321,2,0.398923099615866,0.628929875011582
36,42,114,0,0.11636126874060305,0.19076897069074786
37,42,141,1,0.5091871319804991,1.7104381659973775
38,42,210,2,0.09550535847791833,0.13741967442869973
39,31,145,0,0.10282274654874826,0.1920725427140481
40,31,204,1,0.10885488117610993,0.40925839077994897
41,31,386,2,2.322836781725917,5.687046281857171
42,72,372,0,0.23559188234429532,0.2806123967426177
43,72,502,1,0.25423204996037696,0.3518066358075614
44,72,416,2,0.22978034311043855,0.2974374217961349
45,54,221,0,0.39686838389316503,0.5186535763534706
46,54,277,1,1.0767583571174393,5.668242283568075
47,54,375,2,0.304389755505981,0.9355230139613554
48,71,70,0,0.2033050384375504,0.25963323553407514
49,71,100,1,0.3386165313585741,0.3860697609951275
50,71,102,2,0.6341921643201027,1.6551726528822617
51,11,13,0,0.5174688743011381,0.5548795591028619
52,11,23,1,0.1911981762765617,0.5444087587923577
53,11,52,2,0.1471942165471343,23.816414787985213
54,23,33,0,0.22486387983484618,1.9234594473645246
55,23,56,1,8.507196708356009,3.8701755713613872
56,23,152,2,0.15807811745052225,0.2043540695903217
57,49,34,0,0.38847502298952913,0.43890266027085006
58,49,57,1,0.38379310529646066,0.43279171229053215
59,49,62,2,0.4167848207279719,0.4614957509831611
60,61,20,0,0.8597932452889886,0.6588094903950255
61,61,20,1,0.2608807083008765,0.7099639715679531
62,61,48,2,0.4028165046336269,0.665475922141197
63,56,160,0,0.5968136885774913,1.2324024573907442
64,56,192,1,0.5380458991467053,0.6840909676076984
65,56,225,2,0.6715680497899915,2.360510409652182
66,81,27,0,1.0249985077644548,0.42352554052400526
67,81,17,1,0.15862960189261133,0.22504157292200655
68,81,28,2,0.1928674414977385,0.25772538338865497
69,0,0,0,0.0,0.0
70,0,2,1,0.3072429906542056,3.8873515439429926
71,0,20,2,0.0009059841573172235,0.0013990195261836486
