,month
0,Jan 1998
1,Feb 1998
2,Mar 1998
3,Apr 1998
4,May 1998
5,Jun 1998
6,Jul 1998
7,Aug 1998
8,Sep 1998
9,Oct 1998
10,Nov 1998
11,Dec 1998
12,Jan 1999
13,Feb 1999
14,Mar 1999
15,Apr 1999
16,May 1999
17,Jun 1999
18,Jul 1999
19,Aug 1999
20,Sep 1999
21,Oct 1999
22,Nov 1999
23,Dec 1999
24,Jan 2000
25,Feb 2000
26,Mar 2000
27,Apr 2000
28,May 2000
29,Jun 2000
30,Jul 2000
31,Aug 2000
32,Sep 2000
33,Oct 2000
34,Nov 2000
35,Dec 2000
36,Jan 2001
37,Feb 2001
38,Mar 2001
39,Apr 2001
40,May 2001
41,Jun 2001
42,Jul 2001
43,Aug 2001
44,Sep 2001
45,Oct 2001
46,Nov 2001
47,Dec 2001
48,Jan 2002
49,Feb 2002
50,Mar 2002
51,Apr 2002
52,May 2002
53,Jun 2002
54,Jul 2002
55,Aug 2002
56,Sep 2002
57,Oct 2002
58,Nov 2002
59,Dec 2002
60,Jan 2003
61,Feb 2003
62,Mar 2003
63,Apr 2003
64,May 2003
65,Jun 2003
66,Jul 2003
67,Aug 2003
68,Sep 2003
69,Oct 2003
70,Nov 2003
71,Dec 2003
72,Jan 2004
73,Feb 2004
74,Mar 2004
75,Apr 2004
76,May 2004
77,Jun 2004
78,Jul 2004
79,Aug 2004
80,Sep 2004
81,Oct 2004
82,Nov 2004
83,Dec 2004
84,Jan 2005
85,Feb 2005
86,Mar 2005
87,Apr 2005
88,May 2005
89,Jun 2005
90,Jul 2005
91,Aug 2005
92,Sep 2005
93,Oct 2005
94,Nov 2005
95,Dec 2005
96,Jan 2006
97,Feb 2006
98,Mar 2006
99,Apr 2006
100,May 2006
101,Jun 2006
102,Jul 2006
103,Aug 2006
104,Sep 2006
105,Oct 2006
106,Nov 2006
107,Dec 2006
108,Jan 2007
109,Feb 2007
110,Mar 2007
111,Apr 2007
112,May 2007
113,Jun 2007
114,Jul 2007
115,Aug 2007
116,Sep 2007
117,Oct 2007
118,Nov 2007
119,Dec 2007
120,Jan 2008
121,Feb 2008
122,Mar 2008
123,Apr 2008
124,May 2008
125,Jun 2008
126,Jul 2008
127,Aug 2008
128,Sep 2008
129,Oct 2008
130,Nov 2008
131,Dec 2008
132,Jan 2009
133,Feb 2009
134,Mar 2009
135,Apr 2009
136,May 2009
137,Jun 2009
138,Jul 2009
139,Aug 2009
140,Sep 2009
141,Oct 2009
142,Nov 2009
143,Dec 2009
144,Jan 2010
145,Feb 2010
146,Mar 2010
147,Apr 2010
148,May 2010
149,Jun 2010
150,Jul 2010
151,Aug 2010
152,Sep 2010
153,Oct 2010
154,Nov 2010
155,Dec 2010
156,Jan 2011
157,Feb 2011
158,Mar 2011
159,Apr 2011
160,May 2011
161,Jun 2011
162,Jul 2011
163,Aug 2011
164,Sep 2011
165,Oct 2011
166,Nov 2011
167,Dec 2011
168,Jan 2012
169,Feb 2012
170,Mar 2012
171,Apr 2012
172,May 2012
173,Jun 2012
174,Jul 2012
175,Aug 2012
176,Sep 2012
177,Oct 2012
178,Nov 2012
179,Dec 2012
180,Jan 2013
181,Feb 2013
182,Mar 2013
183,Apr 2013
184,May 2013
185,Jun 2013
186,Jul 2013
187,Aug 2013
188,Sep 2013
189,Oct 2013
190,Nov 2013
191,Dec 2013
192,Jan 2014
193,Feb 2014
194,Mar 2014
195,Apr 2014
196,May 2014
197,Jun 2014
198,Jul 2014
199,Aug 2014
200,Sep 2014
201,Oct 2014
202,Nov 2014
203,Dec 2014
204,Jan 2015
205,Feb 2015
206,Mar 2015
207,Apr 2015
208,May 2015
209,Jun 2015
210,Jul 2015
211,Aug 2015
212,Sep 2015
213,Oct 2015
214,Nov 2015
215,Dec 2015
